isbn,title,rating_average
978-0747532743,harry potter and the sorcerer's stone,4.89
978-0061120084,to kill a mockingbird,4.85
978-0451524935,1984,4.8
978-0743273565,the great gatsby,4.4
978-0547928227,the hobbit,4.75
978-0141439518,pride and prejudice,4.65
978-0307474278,the da vinci code,4.3
978-0439023481,the hunger games,4.72
978-0544003415,the lord of the rings,4.92
978-0064404990,"the chronicles of narnia: the lion, the witch and the wardrobe",4.7
978-0451526342,animal farm,4.6
978-0141441146,jane eyre,4.58
978-1451635621,gone with the wind,4.45
978-1451673319,fahrenheit 451,4.5
978-0060850524,brave new world,4.35
978-0061124952,charlotte's web,4.8
978-1594631931,the kite runner,4.68
978-0375842207,the book thief,4.76
978-0156012195,the little prince,4.95
978-0385490818,the handmaid's tale,4.12
978-0345538987,jurassic park,4.05
978-0525478812,the fault in our stars,4.18
978-0307743657,the shining,4.25
978-0345391803,the hitchhiker's guide to the galaxy,4.22
978-0141439556,wuthering heights,3.88
978-0147514011,little women,4.1
978-0486282114,frankenstein,3.85
978-0141439761,alice's adventures in wonderland,4.05
978-0141439570,the picture of dorian gray,4.11
978-0307588371,gone girl,4.1
978-0307454546,the girl with the dragon tattoo,4.15
978-0156027328,life of pi,3.92
978-0544336261,the giver,4.13
978-0316015844,twilight,3.6
978-0140177398,of mice and men,3.89
978-0064401883,the secret garden,4.15
978-0142437247,moby-dick,3.5
978-0141439600,a tale of two cities,3.85
978-0399501487,lord of the flies,3.69
978-0553103540,a game of thrones,4.44
978-0451205766,the godfather,4.37
978-0062024039,divergent,4.15
978-0393312836,a clockwork orange,3.99
978-0486411095,dracula,4.01
978-0385737973,the maze runner,4.04
978-0553418026,the martian,4.41
978-0385486804,into the wild,4.0
978-0142407332,the outsiders,4.1
978-0307887436,ready player one,4.23
978-1594634024,the girl on the train,3.96
978-1565125605,water for elephants,4.1
978-0140288478,memoirs of a geisha,4.14
978-0393039764,fight club,4.19
978-0679735779,american psycho,3.8
978-0307387899,the road,3.99
978-0316098335,room,4.08
978-0399155345,the help,4.47
978-0316666343,the lovely bones,3.85
978-0684801223,the old man and the sea,4.3
978-1451626650,catch-22,3.98
978-0141439563,great expectations,3.79
978-0060837020,the bell jar,4.03
978-0385333849,slaughterhouse-five,4.1
978-0099429791,atonement,3.93
978-0156028356,the color purple,4.24
978-0441013593,dune,4.26
978-0143035008,anna karenina,4.08
978-0140449136,crime and punishment,4.25
978-1451696196,the perks of being a wallflower,4.22
978-0380977789,coraline,4.1
978-0142410370,matilda,4.33
978-0812550702,ender's game,4.31
978-0735219090,where the crawdads sing,4.41
978-0451207142,the pillars of the earth,4.33
978-0451163967,one flew over the cuckoo's nest,4.2
978-0312924584,the silence of the lambs,4.23
978-0380730407,rebecca,4.24
978-0743271370,watership down,4.05
978-0380973651,american gods,4.11
978-0060736262,a tree grows in brooklyn,4.25
978-0143039433,the grapes of wrath,3.98
978-0679723165,lolita,3.88
978-0743477116,romeo and juliet,3.75
978-0743477123,hamlet,4.02
978-0140268869,the odyssey,3.77
978-0060934347,don quixote,3.88
978-0451419439,les misérables,4.18
978-1400079988,war and peace,4.14
978-0679722762,ulysses,3.73
978-1400033416,beloved,3.93
978-0375507250,cloud atlas,4.02
978-0553293357,foundation,4.18
978-0765377067,the three-body problem,4.08
978-0307744661,norwegian wood,4.03
978-1400078776,never let me go,3.83
978-0679731726,the remains of the day,4.13
978-0812976533,midnight's children,3.98
978-0375703867,white teeth,3.78
