name,budget,gross,profit,roi
the shining,19000000.0,46998772.0,27998772.0,147.36195789473686
the blue lagoon,4500000.0,58853106.0,54353106.0,1207.8468
star wars: episode v - the empire strikes back,18000000.0,538375067.0,520375067.0,2890.9725944444444
airplane!,3500000.0,83453539.0,79953539.0,2284.386828571429
caddyshack,6000000.0,39846344.0,33846344.0,564.1057333333333
friday the 13th,550000.0,39754601.0,39204601.0,7128.109272727272
the blues brothers,27000000.0,115229890.0,88229890.0,326.77737037037036
raging bull,18000000.0,23402427.0,5402427.0,30.013483333333333
superman ii,54000000.0,108185706.0,54185706.0,100.34389999999999
the long riders,10000000.0,15795189.0,5795189.0,57.95188999999999
any which way you can,15000000.0,70687344.0,55687344.0,371.24896
the gods must be crazy,5000000.0,30031783.0,25031783.0,500.63566000000003
popeye,20000000.0,49823037.0,29823037.0,149.115185
ordinary people,6000000.0,54766923.0,48766923.0,812.78205
dressed to kill,6500000.0,31899000.0,25399000.0,390.75384615384615
somewhere in time,5100000.0,9709597.0,4609597.0,90.38425490196079
9 to 5,10000000.0,103300686.0,93300686.0,933.0068600000001
the fog,1000000.0,21448782.0,20448782.0,2044.8782
cruising,11000000.0,19814523.0,8814523.0,80.13202727272727
heaven's gate,44000000.0,3484523.0,-40515477.0,-92.08062954545456
the final countdown,12000000.0,16647800.0,4647800.0,38.73166666666666
xanadu,20000000.0,22762571.0,2762571.0,13.812854999999999
brubaker,9000000.0,37121708.0,28121708.0,312.4634222222222
american gigolo,4800000.0,22743674.0,17943674.0,373.8265416666667
cattle annie and little britches,5100000.0,534816.0,-4565184.0,-89.51341176470589
private benjamin,10000000.0,69847348.0,59847348.0,598.47348
the hollywood knights,4000000.0,10000000.0,6000000.0,150.0
motel hell,3000000.0,6342668.0,3342668.0,111.42226666666666
the stunt man,3500000.0,7063886.0,3563886.0,101.82531428571428
the island,22000000.0,15716828.0,-6283172.0,-28.55987272727273
the nude bomb,15000000.0,14662035.0,-337965.0,-2.2531
stardust memories,10000000.0,10389003.0,389003.0,3.89003
melvin and howard,7000000.0,4309490.0,-2690510.0,-38.435857142857145
bronco billy,6500000.0,24265659.0,17765659.0,273.3178307692308
when time ran out...,20000000.0,3763988.0,-16236012.0,-81.18006
oh heavenly dog,6000000.0,6216067.0,216067.0,3.6011166666666665
the octagon,4000000.0,18971000.0,14971000.0,374.275
the last flight of noah's ark,6000000.0,11000000.0,5000000.0,83.33333333333334
willie & phil,5500000.0,4400000.0,-1100000.0,-20.0
phobia,5100000.0,59167.0,-5040833.0,-98.83986274509805
indiana jones and the raiders of the lost ark,18000000.0,389925971.0,371925971.0,2066.2553944444444
an american werewolf in london,10000000.0,30669378.0,20669378.0,206.69377999999998
escape from new york,6000000.0,25244626.0,19244626.0,320.74376666666666
the evil dead,350000.0,2956630.0,2606630.0,744.7514285714286
porky's,2500000.0,111289673.0,108789673.0,4351.58692
blow out,18000000.0,12000000.0,-6000000.0,-33.33333333333333
clash of the titans,15000000.0,41092328.0,26092328.0,173.94885333333335
excalibur,11000000.0,34971136.0,23971136.0,217.91941818181817
mad max 2,3000000.0,23668369.0,20668369.0,688.9456333333334
stripes,10000000.0,85297000.0,75297000.0,752.97
the cannonball run,18000000.0,72179579.0,54179579.0,300.9976611111111
thief,5500000.0,11492915.0,5992915.0,108.9620909090909
time bandits,5000000.0,42368025.0,37368025.0,747.3605
friday the 13th part 2,1250000.0,21722776.0,20472776.0,1637.8220800000001
for your eyes only,28000000.0,54813222.0,26813222.0,95.76150714285714
halloween ii,2500000.0,25533818.0,23033818.0,921.35272
taps,14000000.0,35856053.0,21856053.0,156.11466428571427
reds,32000000.0,40382659.0,8382659.0,26.195809375
the fox and the hound,12000000.0,63456988.0,51456988.0,428.80823333333336
chariots of fire,5500000.0,59303359.0,53803359.0,978.2428909090909
absence of malice,12000000.0,40716963.0,28716963.0,239.30802500000001
tarzan the ape man,6500000.0,36565280.0,30065280.0,462.54276923076924
victory,10000000.0,10853418.0,853418.0,8.53418
arthur,7000000.0,95461682.0,88461682.0,1263.7383142857143
history of the world: part i,11000000.0,31672907.0,20672907.0,187.93551818181817
the howling,1000000.0,17985893.0,16985893.0,1698.5893
dragonslayer,18000000.0,14110013.0,-3889987.0,-21.61103888888889
cutter's way,3000000.0,1752634.0,-1247366.0,-41.57886666666666
quest for fire,12500000.0,20962615.0,8462615.0,67.70092
the final conflict,5000000.0,20471382.0,15471382.0,309.42764
mommie dearest,5000000.0,19032261.0,14032261.0,280.64522
private lessons,2800000.0,26279000.0,23479000.0,838.5357142857142
the postman always rings twice,12000000.0,12376625.0,376625.0,3.138541666666667
deadly blessing,2500000.0,8279042.0,5779042.0,231.16168
eyewitness,8500000.0,6400000.0,-2100000.0,-24.705882352941178
outland,16000000.0,17374595.0,1374595.0,8.59121875
s.o.b.,12000000.0,14867086.0,2867086.0,23.892383333333335
the beyond,400000.0,123843.0,-276157.0,-69.03925
one from the heart,26000000.0,636796.0,-25363204.0,-97.55078461538461
true confessions,10000000.0,12850276.0,2850276.0,28.50276
nighthawks,5000000.0,19905359.0,14905359.0,298.10718
neighbors,8500000.0,29916207.0,21416207.0,251.95537647058822
wolfen,17000000.0,10626725.0,-6373275.0,-37.48985294117647
prince of the city,8600000.0,8124257.0,-475743.0,-5.531895348837209
eyes of a stranger,800000.0,1118634.0,318634.0,39.82925
under the rainbow,20000000.0,18826490.0,-1173510.0,-5.86755
carbon copy,6000000.0,9566593.0,3566593.0,59.443216666666665
modern problems,8000000.0,26154211.0,18154211.0,226.9276375
pennies from heaven,22000000.0,9171289.0,-12828711.0,-58.31232272727272
the legend of the lone ranger,18000000.0,12617845.0,-5382155.0,-29.90086111111111
sphinx,14000000.0,2022771.0,-11977229.0,-85.55163571428571
zoot suit,2700000.0,3256082.0,556082.0,20.59562962962963
buddy buddy,10000000.0,7258543.0,-2741457.0,-27.414569999999998
bustin' loose,11000000.0,31261269.0,20261269.0,184.19335454545453
heartbeeps,12000000.0,2154696.0,-9845304.0,-82.0442
take this job and shove it,3500000.0,17569027.0,14069027.0,401.9722
whose life is it anyway?,13000000.0,8206145.0,-4793855.0,-36.875807692307696
inchon,46000000.0,5200986.0,-40799014.0,-88.69350869565218
all night long,14000000.0,4454295.0,-9545705.0,-68.18360714285714
the pursuit of d.b. cooper,12000000.0,3702028.0,-8297972.0,-69.14976666666666
rollover,16000000.0,10851261.0,-5148739.0,-32.17961875
honky tonk freeway,24000000.0,2004742.0,-21995258.0,-91.64690833333333
king of the mountain,2000000.0,1791147.0,-208853.0,-10.44265
fast times at ridgemont high,4500000.0,27092880.0,22592880.0,502.064
blade runner,28000000.0,41676878.0,13676878.0,48.84599285714285
the thing,15000000.0,19632053.0,4632053.0,30.880353333333332
conan the barbarian,20000000.0,68851475.0,48851475.0,244.25737500000002
e.t. the extra-terrestrial,10500000.0,792910554.0,782410554.0,7451.529085714285
first blood,15000000.0,125212904.0,110212904.0,734.7526933333334
an officer and a gentleman,7500000.0,129795554.0,122295554.0,1630.6073866666666
grease 2,13200000.0,15171476.0,1971476.0,14.935424242424242
annie,50000000.0,57063861.0,7063861.0,14.127722
poltergeist,10700000.0,77142388.0,66442388.0,620.9568971962617
48 hrs.,12000000.0,78868508.0,66868508.0,557.2375666666667
star trek ii: the wrath of khan,11200000.0,78912963.0,67712963.0,604.5800267857143
sophie's choice,12000000.0,30036000.0,18036000.0,150.29999999999998
gandhi,22000000.0,52767889.0,30767889.0,139.8540409090909
tootsie,21000000.0,177200000.0,156200000.0,743.8095238095239
tron,17000000.0,33000525.0,16000525.0,94.12073529411765
the secret of nimh,7000000.0,14665733.0,7665733.0,109.51047142857142
the king of comedy,20000000.0,2536242.0,-17463758.0,-87.31879
rocky iii,17000000.0,125052686.0,108052686.0,635.6040352941177
the beastmaster,8000000.0,14056528.0,6056528.0,75.70660000000001
creepshow,8000000.0,21028755.0,13028755.0,162.8594375
the man from snowy river,3500000.0,20659423.0,17159423.0,490.2692285714286
pink floyd: the wall,12000000.0,22265763.0,10265763.0,85.54802500000001
cat people,18000000.0,7000000.0,-11000000.0,-61.111111111111114
fanny and alexander,6000000.0,6795771.0,795771.0,13.26285
friday the 13th part iii,2300000.0,36690067.0,34390067.0,1495.220304347826
firefox,18000000.0,46708276.0,28708276.0,159.49042222222224
halloween iii: season of the witch,2500000.0,14400000.0,11900000.0,476.0
the dark crystal,15000000.0,41630431.0,26630431.0,177.5362066666667
the verdict,16000000.0,53993738.0,37993738.0,237.4608625
pieces,300000.0,2032311.0,1732311.0,577.437
the world according to garp,17000000.0,29712172.0,12712172.0,74.77748235294118
diner,5000000.0,14099953.0,9099953.0,181.99906
the best little whorehouse in texas,35000000.0,69701637.0,34701637.0,99.14753428571429
the year of living dangerously,13000000.0,10278575.0,-2721425.0,-20.934038461538464
the last unicorn,3500000.0,6455330.0,2955330.0,84.438
the entity,9000000.0,13277558.0,4277558.0,47.52842222222222
airplane ii: the sequel,15000000.0,27150534.0,12150534.0,81.00356
the toy,17000000.0,47118057.0,30118057.0,177.1650411764706
the house on sorority row,425000.0,10604986.0,10179986.0,2395.2908235294117
evil under the sun,10000000.0,6110670.0,-3889330.0,-38.893299999999996
death wish ii,2000000.0,16100000.0,14100000.0,705.0
silent rage,4500000.0,10490791.0,5990791.0,133.1286888888889
megaforce,20000000.0,5675599.0,-14324401.0,-71.622005
personal best,16000000.0,5672311.0,-10327689.0,-64.54805625
dead men don't wear plaid,9000000.0,18196170.0,9196170.0,102.17966666666666
amityville ii: the possession,5000000.0,12534817.0,7534817.0,150.69634000000002
missing,9500000.0,14000000.0,4500000.0,47.368421052631575
cannery row,11300000.0,5301539.0,-5998461.0,-53.08372566371682
tempest,13000000.0,5005245.0,-7994755.0,-61.49811538461538
still of the night,10000000.0,5979947.0,-4020053.0,-40.20053
parasite,800000.0,2270.0,-797730.0,-99.71625
honkytonk man,2000000.0,4484991.0,2484991.0,124.24955
"come back to the 5 & dime jimmy dean, jimmy dean",850000.0,840958.0,-9042.0,-1.063764705882353
the final option,6000000.0,2666873.0,-3333127.0,-55.55211666666666
trail of the pink panther,6000000.0,9056073.0,3056073.0,50.93455
the border,22000000.0,6118683.0,-15881317.0,-72.18780454545455
best friends,15000000.0,36821203.0,21821203.0,145.47468666666668
shoot the moon,12000000.0,9217530.0,-2782470.0,-23.187250000000002
lookin' to get out,17000000.0,946461.0,-16053539.0,-94.43258235294117
barbarosa,11000000.0,1736123.0,-9263877.0,-84.21706363636363
the soldier,4000000.0,6328816.0,2328816.0,58.220400000000005
wrong is right,10000000.0,3583513.0,-6416487.0,-64.16487
jekyll and hyde... together again,5000000.0,3792188.0,-1207812.0,-24.15624
forced vengeance,5000000.0,6660333.0,1660333.0,33.20666
night crossing,10000000.0,8000000.0,-2000000.0,-20.0
things are tough all over,7000000.0,21134374.0,14134374.0,201.91962857142855
jinxed!,13400000.0,2869638.0,-10530362.0,-78.58479104477611
five days one summer,15000000.0,199078.0,-14800922.0,-98.67281333333334
partners,6000000.0,6062898.0,62898.0,1.0483
"yes, giorgio",19000000.0,2279543.0,-16720457.0,-88.0024052631579
scarface,25000000.0,65884703.0,40884703.0,163.538812
the outsiders,10000000.0,25697647.0,15697647.0,156.97646999999998
star wars: episode vi - return of the jedi,32500000.0,475106177.0,442606177.0,1361.86516
risky business,6200000.0,63541777.0,57341777.0,924.8673709677419
national lampoon's vacation,15000000.0,61399552.0,46399552.0,309.3303466666667
trading places,15000000.0,90404800.0,75404800.0,502.69866666666667
superman iii,39000000.0,59950623.0,20950623.0,53.71954615384615
the big chill,8000000.0,56399659.0,48399659.0,604.9957375
staying alive,22000000.0,64892670.0,42892670.0,194.96668181818183
jaws 3-d,20500000.0,87987055.0,67487055.0,329.20514634146343
christine,9700000.0,21017849.0,11317849.0,116.6788556701031
flashdance,4000000.0,92921203.0,88921203.0,2223.030075
wargames,12000000.0,79567667.0,67567667.0,563.0638916666667
the right stuff,27000000.0,21192315.0,-5807685.0,-21.509944444444447
krull,47000000.0,16916617.0,-30083383.0,-64.00719787234043
the dead zone,10000000.0,20766616.0,10766616.0,107.66616
octopussy,27500000.0,67893619.0,40393619.0,146.88588727272727
private school,3500000.0,14049540.0,10549540.0,301.41542857142855
valley girl,350000.0,17343596.0,16993596.0,4855.313142857142
rumble fish,10000000.0,2494480.0,-7505520.0,-75.0552
videodrome,5952000.0,2120439.0,-3831561.0,-64.37434475806452
terms of endearment,8000000.0,108423749.0,100423749.0,1255.2968625
twilight zone: the movie,10000000.0,29450919.0,19450919.0,194.50919
never say never again,36000000.0,55432841.0,19432841.0,53.980113888888894
a christmas story,3300000.0,20653717.0,17353717.0,525.870212121212
cujo,5000000.0,21156152.0,16156152.0,323.12304
sudden impact,22000000.0,67642693.0,45642693.0,207.46678636363634
blue thunder,22000000.0,42313354.0,20313354.0,92.33342727272728
breathless,7500000.0,19910002.0,12410002.0,165.46669333333332
psycho ii,5000000.0,34725000.0,29725000.0,594.5
silkwood,10000000.0,35615609.0,25615609.0,256.15609
all the right moves,5600000.0,17233166.0,11633166.0,207.73510714285712
the keep,11000000.0,4218594.0,-6781406.0,-61.64914545454545
