title,year,director,rating,votes,metascore
guardians of the galaxy,2014,james gunn,8.1,757074,76.0
prometheus,2012,ridley scott,7.0,485820,65.0
split,2016,m. night shyamalan,7.3,157606,62.0
sing,2016,christophe lourdelet,7.2,60545,59.0
suicide squad,2016,david ayer,6.2,393727,40.0
the great wall,2016,yimou zhang,6.1,56036,42.0
la la land,2016,damien chazelle,8.3,258682,93.0
mindhorn,2016,sean foley,6.4,2490,71.0
the lost city of z,2016,james gray,7.1,7188,78.0
passengers,2016,morten tyldum,7.0,192177,41.0
fantastic beasts and where to find them,2016,david yates,7.5,232072,66.0
hidden figures,2016,theodore melfi,7.8,93103,74.0
rogue one,2016,gareth edwards,7.9,323118,65.0
moana,2016,ron clements,7.7,118151,81.0
colossal,2016,nacho vigalondo,6.4,8612,70.0
the secret life of pets,2016,chris renaud,6.6,120259,61.0
hacksaw ridge,2016,mel gibson,8.2,211760,71.0
jason bourne,2016,paul greengrass,6.7,150823,58.0
lion,2016,garth davis,8.1,102061,69.0
arrival,2016,denis villeneuve,8.0,340798,81.0
gold,2016,stephen gaghan,6.7,19053,49.0
manchester by the sea,2016,kenneth lonergan,7.9,134213,96.0
hounds of love,2016,ben young,6.7,1115,72.0
trolls,2016,walt dohrn,6.5,38552,56.0
independence day: resurgence,2016,roland emmerich,5.3,127553,32.0
bad moms,2016,jon lucas,6.2,66540,60.0
assassin's creed,2016,justin kurzel,5.9,112813,36.0
why him?,2016,john hamburg,6.3,48123,39.0
nocturnal animals,2016,tom ford,7.5,126030,67.0
x-men: apocalypse,2016,bryan singer,7.1,275510,52.0
deadpool,2016,tim miller,8.0,627797,65.0
resident evil: the final chapter,2016,paul w.s. anderson,5.6,46165,49.0
captain america: civil war,2016,anthony russo,7.9,411656,75.0
interstellar,2014,christopher nolan,8.6,1047747,74.0
doctor strange,2016,scott derrickson,7.6,293732,72.0
the magnificent seven,2016,antoine fuqua,6.9,122853,54.0
sausage party,2016,greg tiernan,6.3,120690,66.0
moonlight,2016,barry jenkins,7.5,135095,99.0
the founder,2016,john lee hancock,7.2,37033,66.0
lowriders,2016,ricardo de montreuil,6.3,279,57.0
pirates of the caribbean: on stranger tides,2011,rob marshall,6.7,395025,45.0
miss sloane,2016,john madden,7.3,17818,64.0
star trek beyond,2016,justin lin,7.1,164567,68.0
the last face,2016,sean penn,3.7,987,16.0
star wars: episode vii - the force awakens,2015,j.j. abrams,8.1,661608,81.0
underworld: blood wars,2016,anna foerster,5.8,41362,23.0
mother's day,2016,garry marshall,5.6,20221,18.0
john wick,2014,chad stahelski,7.2,321933,68.0
the dark knight,2008,christopher nolan,9.0,1791916,82.0
silence,2016,martin scorsese,7.3,49190,79.0
don't breathe,2016,fede alvarez,7.2,121103,71.0
me before you,2016,thea sharrock,7.4,113322,51.0
their finest,2016,lone scherfig,7.0,3739,76.0
sully,2016,clint eastwood,7.5,137608,74.0
batman v superman: dawn of justice,2016,zack snyder,6.7,472307,44.0
the autopsy of jane doe,2016,andré øvredal,6.8,35870,65.0
the girl on the train,2016,tate taylor,6.5,102177,48.0
fifty shades of grey,2015,sam taylor-johnson,4.1,244474,46.0
the prestige,2006,christopher nolan,8.5,913152,66.0
kingsman: the secret service,2014,matthew vaughn,7.7,440209,58.0
patriots day,2016,peter berg,7.4,39784,69.0
mad max: fury road,2015,george miller,8.1,632842,90.0
wakefield,2016,robin swicord,7.5,291,61.0
deepwater horizon,2016,peter berg,7.2,89849,68.0
the promise,2016,terry george,5.9,149791,49.0
allied,2016,robert zemeckis,7.1,78079,60.0
a monster calls,2016,j.a. bayona,7.5,39134,76.0
collateral beauty,2016,david frankel,6.8,43977,23.0
zootopia,2016,byron howard,8.1,296853,78.0
pirates of the caribbean: at world's end,2007,gore verbinski,7.1,498821,50.0
the avengers,2012,joss whedon,8.1,1045588,69.0
inglourious basterds,2009,quentin tarantino,8.3,959065,69.0
pirates of the caribbean: dead man's chest,2006,gore verbinski,7.3,552027,53.0
ghostbusters,2016,paul feig,5.3,147717,60.0
inception,2010,christopher nolan,8.8,1583625,74.0
captain fantastic,2016,matt ross,7.9,105081,72.0
the wolf of wall street,2013,martin scorsese,8.2,865134,75.0
gone girl,2014,david fincher,8.1,636243,79.0
furious seven,2015,james wan,7.2,301249,67.0
jurassic world,2015,colin trevorrow,7.0,455169,59.0
live by night,2016,ben affleck,6.4,27869,49.0
avatar,2009,james cameron,7.8,935408,83.0
the hateful eight,2015,quentin tarantino,7.8,341170,68.0
the accountant,2016,gavin o'connor,7.4,162122,51.0
prisoners,2013,denis villeneuve,8.1,431185,74.0
warcraft,2016,duncan jones,7.0,187547,32.0
the help,2011,tate taylor,8.1,342429,62.0
war dogs,2016,todd phillips,7.1,106463,57.0
avengers: age of ultron,2015,joss whedon,7.4,516895,66.0
the nice guys,2016,shane black,7.4,175067,70.0
kimi no na wa,2016,makoto shinkai,8.6,34110,79.0
the void,2016,jeremy gillespie,5.8,9247,62.0
personal shopper,2016,olivier assayas,6.3,10181,77.0
the departed,2006,martin scorsese,8.5,937414,85.0
legend,2015,brian helgeland,7.0,108836,55.0
thor,2011,kenneth branagh,7.0,570814,57.0
the martian,2015,ridley scott,8.0,556097,80.0
the man from u.n.c.l.e.,2015,guy ritchie,7.3,202973,56.0
hell or high water,2016,david mackenzie,7.7,115546,88.0
the comedian,2016,taylor hackford,5.4,1954,40.0
the legend of tarzan,2016,david yates,6.3,117590,44.0
all we had,2016,katie holmes,5.8,1004,48.0
ex machina,2014,alex garland,7.7,339797,78.0
the belko experiment,2016,greg mclean,6.3,3712,44.0
12 years a slave,2013,steve mcqueen,8.1,486338,96.0
the bad batch,2016,ana lily amirpour,6.1,512,65.0
300,2006,zack snyder,7.7,637104,52.0
harry potter and the deathly hallows: part 2,2011,david yates,8.1,590595,87.0
office christmas party,2016,josh gordon,5.8,30761,42.0
the neon demon,2016,nicolas winding refn,6.2,50359,51.0
10 cloverfield lane,2016,dan trachtenberg,7.2,192968,76.0
finding dory,2016,andrew stanton,7.4,157026,77.0
miss peregrine's home for peculiar children,2016,tim burton,6.7,101058,57.0
divergent,2014,neil burger,6.7,362093,48.0
mike and dave need wedding dates,2016,jake szymanski,6.0,53183,51.0
the dark knight rises,2012,christopher nolan,8.5,1222645,78.0
the jungle book,2016,jon favreau,7.5,198243,77.0
transformers: age of extinction,2014,michael bay,5.7,255483,32.0
nerve,2016,henry joost,6.6,69651,58.0
mamma mia!,2008,phyllida lloyd,6.4,153481,51.0
the revenant,2015,alejandro gonzález iñárritu,8.0,499424,76.0
fences,2016,denzel washington,7.3,50953,79.0
into the woods,2014,rob marshall,6.0,109756,69.0
the shallows,2016,jaume collet-serra,6.4,78328,59.0
whiplash,2014,damien chazelle,8.5,477276,88.0
furious 6,2013,justin lin,7.1,318051,61.0
the place beyond the pines,2012,derek cianfrance,7.3,200090,68.0
no country for old men,2007,ethan coen,8.1,660286,91.0
the great gatsby,2013,baz luhrmann,7.3,386102,55.0
shutter island,2010,martin scorsese,8.1,855604,63.0
brimstone,2016,martin koolhoven,7.1,13004,44.0
star trek,2009,j.j. abrams,8.0,526324,82.0
diary of a wimpy kid,2010,thor freudenthal,6.2,34184,56.0
the big short,2015,adam mckay,7.8,246360,81.0
room,2015,lenny abrahamson,8.2,224132,86.0
django unchained,2012,quentin tarantino,8.4,1039115,81.0
ah-ga-ssi,2016,chan-wook park,8.1,33418,84.0
the edge of seventeen,2016,kelly fremon craig,7.4,47694,77.0
watchmen,2009,zack snyder,7.6,410249,56.0
superbad,2007,greg mottola,7.6,442082,76.0
inferno,2016,ron howard,6.2,97623,42.0
the bfg,2016,steven spielberg,6.4,50853,66.0
the hunger games,2012,gary ross,7.2,735604,68.0
white girl,2016,elizabeth wood,5.8,4299,65.0
sicario,2015,denis villeneuve,7.6,243230,82.0
aliens vs predator - requiem,2007,colin strause,4.7,97618,29.0
pacific rim,2013,guillermo del toro,7.0,400519,64.0
"crazy, stupid, love.",2011,glenn ficarra,7.4,396714,68.0
scott pilgrim vs. the world,2010,edgar wright,7.5,291457,69.0
hot fuzz,2007,edgar wright,7.9,373244,81.0
mine,2016,fabio guaglione,6.0,5926,40.0
free fire,2016,ben wheatley,7.0,6946,63.0
x-men: days of future past,2014,bryan singer,8.0,552298,74.0
jack reacher: never go back,2016,edward zwick,6.1,78043,47.0
casino royale,2006,martin campbell,8.0,495106,80.0
twilight,2008,catherine hardwicke,5.2,361449,56.0
now you see me 2,2016,jon m. chu,6.5,156567,46.0
woman in gold,2015,simon curtis,7.3,39723,51.0
13 hours,2016,michael bay,7.3,76935,48.0
spectre,2015,sam mendes,6.8,308981,60.0
nightcrawler,2014,dan gilroy,7.9,332476,76.0
kubo and the two strings,2016,travis knight,7.9,72778,84.0
beyond the gates,2016,jackson stewart,5.2,2127,59.0
her,2013,spike jonze,8.0,390531,90.0
frozen,2013,chris buck,7.5,451894,74.0
tomorrowland,2015,brad bird,6.5,143069,60.0
dawn of the planet of the apes,2014,matt reeves,7.6,337777,79.0
tropic thunder,2008,ben stiller,7.0,321442,71.0
the conjuring 2,2016,james wan,7.4,137203,65.0
ant-man,2015,peyton reed,7.3,368912,64.0
bridget jones's baby,2016,sharon maguire,6.7,43086,59.0
the vvitch: a new-england folktale,2015,robert eggers,6.8,101781,83.0
cinderella,2015,kenneth branagh,7.0,117018,67.0
forushande,2016,asghar farhadi,8.0,22389,85.0
love,2015,gaspar noé,6.0,24003,51.0
billy lynn's long halftime walk,2016,ang lee,6.3,11944,53.0
crimson peak,2015,guillermo del toro,6.6,97454,66.0
drive,2011,nicolas winding refn,7.8,461509,78.0
trainwreck,2015,judd apatow,6.3,106364,75.0
the light between oceans,2016,derek cianfrance,7.2,27382,60.0
below her mouth,2016,april mullen,5.6,1445,42.0
spotlight,2015,tom mccarthy,8.1,268282,93.0
morgan,2016,luke scott,5.8,22107,48.0
warrior,2011,gavin o'connor,8.2,355722,71.0
captain america: the first avenger,2011,joe johnston,6.9,547368,66.0
into the wild,2007,sean penn,8.1,459304,73.0
the imitation game,2014,morten tyldum,8.1,532353,73.0
central intelligence,2016,rawson marshall thurber,6.3,97082,52.0
edge of tomorrow,2014,doug liman,7.9,471815,71.0
a cure for wellness,2016,gore verbinski,6.5,12193,47.0
snowden,2016,oliver stone,7.3,79855,58.0
iron man,2008,jon favreau,7.9,737719,79.0
allegiant,2016,robert schwentke,5.7,70504,33.0
x: first class,2011,matthew vaughn,7.8,550011,65.0
raw (ii),2016,julia ducournau,7.5,5435,81.0
paterson,2016,jim jarmusch,7.5,26089,90.0
bridesmaids,2011,paul feig,6.8,227912,75.0
the girl with all the gifts,2016,colm mccarthy,6.7,23713,67.0
san andreas,2015,brad peyton,6.1,161396,43.0
spring breakers,2012,harmony korine,5.3,114290,63.0
transformers,2007,michael bay,7.1,531112,61.0
old boy,2013,spike lee,5.8,54679,49.0
thor: the dark world,2013,alan taylor,7.0,443584,54.0
gods of egypt,2016,alex proyas,5.5,73568,25.0
captain america: the winter soldier,2014,anthony russo,7.8,542362,70.0
monster trucks,2016,chris wedge,5.7,7044,41.0
a dark song,2016,liam gavin,6.1,1703,67.0
kick-ass,2010,matthew vaughn,7.7,456749,66.0
hardcore henry,2015,ilya naishuller,6.7,61098,51.0
cars,2006,john lasseter,7.1,283445,73.0
it follows,2014,david robert mitchell,6.9,136399,83.0
the girl with the dragon tattoo,2011,david fincher,7.8,348551,71.0
we're the millers,2013,rawson marshall thurber,7.0,334867,44.0
american honey,2016,andrea arnold,7.0,19660,79.0
the lobster,2015,yorgos lanthimos,7.1,121313,82.0
predators,2010,nimród antal,6.4,179450,51.0
maleficent,2014,robert stromberg,7.0,268877,56.0
rupture,2016,steven shainberg,4.8,2382,35.0
pan's labyrinth,2006,guillermo del toro,8.2,498879,98.0
a kind of murder,2016,andy goddard,5.2,3305,50.0
apocalypto,2006,mel gibson,7.8,247926,68.0
mission: impossible - rogue nation,2015,christopher mcquarrie,7.4,257472,75.0
the huntsman: winter's war,2016,cedric nicolas-troyan,6.1,66766,35.0
the perks of being a wallflower,2012,stephen chbosky,8.0,377336,67.0
jackie,2016,pablo larraín,6.8,41446,81.0
the disappointments room,2016,d.j. caruso,3.9,4895,31.0
the grand budapest hotel,2014,wes anderson,8.1,530881,88.0
the host,2013,andrew niccol,5.9,96852,35.0
fury,2014,david ayer,7.6,332234,64.0
inside out,2015,pete docter,8.2,416689,94.0
rock dog,2016,ash brannon,5.8,1109,48.0
terminator genisys,2015,alan taylor,6.5,205365,38.0
percy jackson & the olympians: the lightning thief,2010,chris columbus,5.9,148949,47.0
les misérables,2012,tom hooper,7.6,257426,63.0
children of men,2006,alfonso cuarón,7.9,382910,84.0
20th century women,2016,mike mills,7.4,14708,83.0
spy,2015,paul feig,7.1,188017,75.0
the intouchables,2011,olivier nakache,8.6,557965,57.0
bonjour anne,2016,eleanor coppola,4.9,178,50.0
kynodontas,2009,yorgos lanthimos,7.3,50946,73.0
straight outta compton,2015,f. gary gray,7.9,139831,72.0
the amazing spider-man 2,2014,marc webb,6.7,342183,53.0
the conjuring,2013,james wan,7.5,330305,68.0
the hangover,2009,todd phillips,7.8,611563,73.0
battleship,2012,peter berg,5.8,210349,41.0
rise of the planet of the apes,2011,rupert wyatt,7.6,422290,68.0
lights out,2016,david f. sandberg,6.4,69823,58.0
norman: the moderate rise and tragic fall of a new york fixer,2016,joseph cedar,7.1,664,76.0
birdman or (the unexpected virtue of ignorance),2014,alejandro gonzález iñárritu,7.8,440299,88.0
black swan,2010,darren aronofsky,8.0,581518,79.0
dear white people,2014,justin simien,6.2,21715,79.0
nymphomaniac: vol. i,2013,lars von trier,7.0,90556,64.0
teenage mutant ninja turtles: out of the shadows,2016,dave green,6.0,59312,40.0
knock knock,2015,eli roth,4.9,53441,53.0
dirty grandpa,2016,dan mazer,6.0,75137,18.0
cloud atlas,2012,tom tykwer,7.5,298651,55.0
x-men origins: wolverine,2009,gavin hood,6.7,388447,40.0
skyfall,2012,sam mendes,7.8,547386,81.0
the hobbit: an unexpected journey,2012,peter jackson,7.9,668651,58.0
21 jump street,2012,phil lord,7.2,432046,69.0
sing street,2016,john carney,8.0,52144,79.0
oblivion,2013,joseph kosinski,7.0,410125,54.0
22 jump street,2014,phil lord,7.1,280110,71.0
zodiac,2007,david fincher,7.7,329683,78.0
everybody wants some!!,2016,richard linklater,7.0,36312,83.0
iron man three,2013,shane black,7.2,591023,62.0
now you see me,2013,louis leterrier,7.3,492324,50.0
sherlock holmes,2009,guy ritchie,7.6,501769,57.0
the danish girl,2015,tom hooper,7.0,110773,66.0
hercules,2014,brett ratner,6.0,122838,47.0
sucker punch,2011,zack snyder,6.1,204874,33.0
keeping up with the joneses,2016,greg mottola,5.8,30405,34.0
jupiter ascending,2015,lana wachowski,5.3,150121,40.0
masterminds,2016,jared hess,5.8,26508,47.0
busanhaeng,2016,sang-ho yeon,7.5,58782,72.0
pitch perfect,2012,jason moore,7.2,226631,66.0
neighbors 2: sorority rising,2016,nicholas stoller,5.7,76327,58.0
man of steel,2013,zack snyder,7.1,577010,55.0
the choice,2016,ross katz,6.6,20514,26.0
ice age: collision course,2016,mike thurmeier,5.7,34523,34.0
the devil wears prada,2006,david frankel,6.8,302268,62.0
the infiltrator,2016,brad furman,7.1,43929,66.0
there will be blood,2007,paul thomas anderson,8.1,400682,92.0
the equalizer,2014,antoine fuqua,7.2,249425,57.0
lone survivor,2013,peter berg,7.5,218996,60.0
the cabin in the woods,2012,drew goddard,7.0,295554,72.0
the house bunny,2008,fred wolf,5.5,67033,55.0
she's out of my league,2010,jim field smith,6.4,105619,46.0
inherent vice,2014,paul thomas anderson,6.7,69509,81.0
alice through the looking glass,2016,james bobin,6.2,57207,34.0
the fast and the furious: tokyo drift,2006,justin lin,6.0,193479,45.0
