id,title,author,rating_average,movie_release_year,isbn,Unnamed: 0,rank,genre,description,director,actors,year,runtime (minutes),rating,votes,revenue (millions),metascore
4,the great gatsby,f. scott fitzgerald,4.4,2013,978-0743273565,137,138,"drama,romance","a writer and wall street trader, nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, jay gatsby.",baz luhrmann,"leonardo dicaprio, carey mulligan, joel edgerton,tobey maguire",2013,143,7.3,386102,144.81,55.0
8,the da vinci code,dan brown,4.3,2006,978-0307474278,733,734,"mystery,thriller",a murder inside the louvre and clues in da vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years -- which could shake the foundations of christianity.,ron howard,"tom hanks, audrey tautou, jean reno, ian mckellen",2006,149,6.6,338280,217.54,46.0
9,the hunger games,suzanne collins,4.72,2012,978-0439023481,151,152,"adventure,sci-fi,thriller",katniss everdeen voluntarily takes her younger sister's place in the hunger games: a televised competition in which two teenagers from each of the twelve districts of panem are chosen at random to fight to the death.,gary ross,"jennifer lawrence, josh hutcherson, liam hemsworth,stanley tucci",2012,142,7.2,735604,408.0,68.0
14,jane eyre,charlotte brontë,4.58,2011,978-0141441146,832,833,"drama,romance",a mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,cary joji fukunaga,"mia wasikowska, michael fassbender, jamie bell, su elliot",2011,120,7.4,67464,11.23,76.0
24,the fault in our stars,john green,4.18,2014,978-0525478812,338,339,"drama,romance",two teenage cancer patients begin a life-affirming journey to visit a reclusive author in amsterdam.,josh boone,"shailene woodley, ansel elgort, nat wolff, laura dern",2014,126,7.8,271301,124.87,69.0
32,gone girl,gillian flynn,4.1,2014,978-0307588371,83,84,"crime,drama,mystery","with his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",david fincher,"ben affleck, rosamund pike, neil patrick harris,tyler perry",2014,149,8.1,636243,167.74,79.0
33,the girl with the dragon tattoo,stieg larsson,4.15,2011,978-0307454546,223,224,"crime,drama,mystery","journalist mikael blomkvist is aided in his search for a woman who has been missing for forty years by lisbeth salander, a young computer hacker.",david fincher,"daniel craig, rooney mara, christopher plummer,stellan skarsgård",2011,158,7.8,348551,102.52,71.0
34,life of pi,yann martel,3.92,2012,978-0156027328,694,695,"adventure,drama,fantasy","a young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. while cast away, he forms an unexpected connection with another survivor: a fearsome bengal tiger.",ang lee,"suraj sharma, irrfan khan, adil hussain, tabu",2012,127,7.9,471109,124.98,79.0
35,the giver,lois lowry,4.13,2014,978-0544336261,481,482,"drama,romance,sci-fi","in a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",phillip noyce,"brenton thwaites, jeff bridges, meryl streep, taylor swift",2014,97,6.5,93799,45.09,47.0
36,twilight,stephenie meyer,3.6,2008,978-0316015844,165,166,"drama,fantasy,romance",a teenage girl risks everything when she falls in love with a vampire.,catherine hardwicke,"kristen stewart, robert pattinson, billy burke,sarah clarke",2008,122,5.2,361449,191.45,56.0
44,divergent,veronica roth,4.15,2014,978-0062024039,121,122,"adventure,mystery,sci-fi","in a world divided by factions based on virtues, tris learns she's divergent and won't fit in. when she discovers a plot to destroy divergents, tris and the mysterious four must find out what makes divergents dangerous before it's too late.",neil burger,"shailene woodley, theo james, kate winslet, jai courtney",2014,139,6.7,362093,150.83,48.0
47,the maze runner,james dashner,4.04,2014,978-0385737973,371,372,"action,mystery,sci-fi","thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",wes ball,"dylan o'brien, kaya scodelario, will poulter, thomas brodie-sangster",2014,113,6.8,335531,102.41,57.0
48,the martian,andy weir,4.41,2015,978-0553418026,102,103,"adventure,drama,sci-fi","an astronaut becomes stranded on mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to earth that he is alive.",ridley scott,"matt damon, jessica chastain, kristen wiig, kate mara",2015,144,8.0,556097,228.43,80.0
49,into the wild,jon krakauer,4.0,2007,978-0385486804,197,198,"adventure,biography,drama","after graduating from emory university, top student and athlete christopher mccandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to alaska to live in the wilderness. along the way, christopher encounters a series of characters that shape his life.",sean penn,"emile hirsch, vince vaughn, catherine keener, marcia gay harden",2007,148,8.1,459304,18.35,73.0
52,the girl on the train,paula hawkins,3.96,2016,978-1594634024,62,63,"crime,drama,mystery",a divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,tate taylor,"emily blunt, haley bennett, rebecca ferguson, justin theroux",2016,112,6.5,102177,75.31,48.0
58,room,emma donoghue,4.08,2015,978-0316098335,143,144,drama,a young boy is raised within the confines of a small shed.,lenny abrahamson,"brie larson, jacob tremblay, sean bridgers,wendy crewson",2015,118,8.2,224132,14.68,86.0
59,the help,kathryn stockett,4.47,2011,978-0399155345,92,93,drama,"an aspiring author during the civil rights movement of the 1960s decides to write a book detailing the african american maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",tate taylor,"emma stone, viola davis, octavia spencer, bryce dallas howard",2011,146,8.1,342429,169.71,62.0
60,the lovely bones,alice sebold,3.85,2009,978-0316666343,612,613,"drama,fantasy,thriller",centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. she must weigh her desire for vengeance against her desire for her family to heal.,peter jackson,"rachel weisz, mark wahlberg, saoirse ronan, susan sarandon",2009,135,6.7,130702,43.98,42.0
71,anna karenina,leo tolstoy,4.08,2012,978-0143035008,665,666,"drama,romance","in late-19th-century russian high society, st. petersburg aristocrat anna karenina enters into a life-changing affair with the dashing count alexei vronsky.",joe wright,"keira knightley, jude law, aaron taylor-johnson,matthew macfadyen",2012,129,6.6,75291,12.8,63.0
76,the perks of being a wallflower,stephen chbosky,4.22,2012,978-1451696196,235,236,"drama,romance",an introvert freshman is taken under the wings of two seniors who welcome him to the real world.,stephen chbosky,"logan lerman, emma watson, ezra miller, paul rudd",2012,102,8.0,377336,17.74,67.0
77,coraline,neil gaiman,4.1,2009,978-0380977789,442,443,"animation,family,fantasy","an adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",henry selick,"dakota fanning, teri hatcher, john hodgman, jennifer saunders",2009,100,7.7,156620,75.28,80.0
