id_book,isbn,title,rating_average,id_movie,rating,votes,revenue (millions),metascore
4,978-0743273565,the great gatsby,4.4,138,7.3,386102,144.81,55.0
8,978-0307474278,the da vinci code,4.3,734,6.6,338280,217.54,46.0
9,978-0439023481,the hunger games,4.72,152,7.2,735604,408.0,68.0
14,978-0141441146,jane eyre,4.58,833,7.4,67464,11.23,76.0
24,978-0525478812,the fault in our stars,4.18,339,7.8,271301,124.87,69.0
32,978-0307588371,gone girl,4.1,84,8.1,636243,167.74,79.0
33,978-0307454546,the girl with the dragon tattoo,4.15,224,7.8,348551,102.52,71.0
34,978-0156027328,life of pi,3.92,695,7.9,471109,124.98,79.0
35,978-0544336261,the giver,4.13,482,6.5,93799,45.09,47.0
36,978-0316015844,twilight,3.6,166,5.2,361449,191.45,56.0
44,978-0062024039,divergent,4.15,122,6.7,362093,150.83,48.0
47,978-0385737973,the maze runner,4.04,372,6.8,335531,102.41,57.0
48,978-0553418026,the martian,4.41,103,8.0,556097,228.43,80.0
49,978-0385486804,into the wild,4.0,198,8.1,459304,18.35,73.0
52,978-1594634024,the girl on the train,3.96,63,6.5,102177,75.31,48.0
58,978-0316098335,room,4.08,144,8.2,224132,14.68,86.0
59,978-0399155345,the help,4.47,93,8.1,342429,169.71,62.0
60,978-0316666343,the lovely bones,3.85,613,6.7,130702,43.98,42.0
71,978-0143035008,anna karenina,4.08,666,6.6,75291,12.8,63.0
76,978-1451696196,the perks of being a wallflower,4.22,236,8.0,377336,17.74,67.0
77,978-0380977789,coraline,4.1,443,7.7,156620,75.28,80.0
96,978-0451419439,les misérables,4.18,246,7.6,257426,148.78,63.0
100,978-0375507250,cloud atlas,4.02,268,7.5,298651,27.1,55.0
122,978-1451648539,steve jobs,4.15,393,7.2,116112,17.75,82.0
133,978-0307592736,wild,4.01,722,7.1,95553,37.88,76.0
155,978-0930289232,watchmen,4.36,148,7.6,410249,107.5,56.0
198,978-0307387134,no country for old men,4.15,137,8.1,660286,74.27,91.0
220,978-0064401845,bridge to terabithia,4.02,913,7.2,117297,82.23,74.0
225,978-0142410387,the bfg,4.24,151,6.4,50853,55.47,66.0
227,978-0140440256,the three musketeers,4.07,346,5.8,92329,20.32,35.0
258,978-0307743664,carrie,3.98,450,5.9,113272,35.27,53.0
262,978-0062564344,stardust,4.09,347,7.7,220664,38.35,66.0
278,978-0440418320,the golden compass,3.99,920,6.1,155078,70.08,51.0
290,978-0143124542,me before you,4.26,58,7.4,113322,56.23,51.0
292,978-0767914765,the devil wears prada,3.75,298,6.8,302268,124.73,62.0
304,978-0062068415,shutter island,4.1,139,8.1,855604,127.97,63.0
333,978-1400064168,unbroken,4.38,587,7.2,114006,115.6,59.0
336,978-0375725845,perfume: the story of a murderer,4.04,919,7.5,199387,2.21,56.0
339,978-1400095209,half of a yellow sun,4.33,520,6.2,1356,0.05,51.0
362,978-1593081157,the jungle book,3.94,126,7.5,198243,364.0,77.0
405,978-0393320978,beowulf,3.45,803,6.2,146566,82.16,59.0
430,978-1590204597,true grit,4.14,744,7.6,254904,171.03,80.0
435,978-1338109061,fantastic beasts and where to find them,3.98,11,7.5,232072,234.02,66.0
445,978-0743227445,the other boleyn girl,4.06,963,6.7,88260,26.81,50.0
456,978-0786891085,"love, rosie",4.2,678,7.2,80415,0.01,44.0
457,978-0340961175,one day,3.8,874,7.0,113599,13.77,48.0
495,978-0062363596,hidden figures,4.26,12,7.8,93103,169.27,74.0
510,978-0307346605,world war z,4.01,433,7.0,494819,202.35,63.0
602,978-0439358064,harry potter and the order of the phoenix,4.5,315,7.5,385325,292.0,71.0
603,978-0439784542,harry potter and the half-blood prince,4.57,474,7.5,351059,301.96,78.0
612,978-1612185439,casino royale,3.76,165,8.0,495106,167.01,80.0
616,978-0143120933,tinker tailor soldier spy,4.06,690,7.1,157053,24.1,85.0
634,978-0765357151,i am legend,4.0,496,7.2,565721,256.39,65.0
672,978-0525478188,paper towns,3.86,769,6.3,72515,31.99,56.0
674,978-1594744761,miss peregrine's home for peculiar children,3.9,121,6.7,101058,87.24,57.0
678,978-0062024046,insurgent,4.02,355,6.3,171970,130.0,42.0
679,978-0062024060,allegiant,3.6,205,5.7,70504,66.0,33.0
686,978-1439136690,brooklyn,3.92,442,7.5,94977,38.32,87.0
751,978-0385537858,inferno,3.86,150,6.2,97623,34.26,42.0
778,978-0670220267,christine,3.79,824,7.0,5855,0.3,72.0
782,978-0689714346,"alexander and the terrible, horrible, no good, very bad day",4.22,863,6.2,32310,66.95,54.0
790,978-0062068408,gone baby gone,4.13,663,7.7,206707,20.3,72.0
905,978-0061147955,horns,3.92,866,6.5,61060,0.16,46.0
974,978-1595141743,vampire academy,4.12,650,5.6,44111,7.79,30.0
976,978-0316042673,beautiful creatures,3.75,611,6.2,71822,19.45,52.0
980,978-0316068048,the host,3.84,240,5.9,96852,26.62,35.0
980,978-0316068048,the host,3.84,633,7.0,73491,2.2,85.0
982,978-0446673549,sex and the city,3.45,894,5.5,102547,152.64,53.0
987,978-0446547598,safe haven,4.18,488,6.7,84765,71.35,34.0
