book_id,movie_id
4,128
8,689
9,142
14,779
24,318
32,77
33,211
34,653
35,454
36,155
44,113
47,349
48,96
49,185
51,985
52,56
58,134
59,86
60,577
71,625
76,223
77,416
96,233
100,255
122,370
133,677
150,1031
155,138
198,127
220,857
225,141
227,325
258,422
262,326
278,864
290,51
292,280
304,129
333,553
336,863
339,491
362,116
405,752
417,1047
419,914
430,699
435,10
445,904
456,637
457,820
475,1023
495,11
496,1056
510,407
532,1034
602,296
603,446
612,154
616,649
634,467
672,720
674,112
678,334
679,192
686,415
751,140
778,772
782,809
790,622
905,812
974,609
976,575
980,227
980,595
982,839
987,459
