id,title,rating,votes,metascore
1,guardians of the galaxy,8.1,757074,76.0
2,prometheus,7.0,485820,65.0
3,split,7.3,157606,62.0
4,sing,7.2,60545,59.0
5,suicide squad,6.2,393727,40.0
6,the great wall,6.1,56036,42.0
7,la la land,8.3,258682,93.0
8,mindhorn,6.4,2490,71.0
9,the lost city of z,7.1,7188,78.0
10,passengers,7.0,192177,41.0
11,fantastic beasts and where to find them,7.5,232072,66.0
12,hidden figures,7.8,93103,74.0
13,rogue one,7.9,323118,65.0
14,moana,7.7,118151,81.0
15,colossal,6.4,8612,70.0
16,the secret life of pets,6.6,120259,61.0
17,hacksaw ridge,8.2,211760,71.0
18,jason bourne,6.7,150823,58.0
19,lion,8.1,102061,69.0
20,arrival,8.0,340798,81.0
21,gold,6.7,19053,49.0
22,manchester by the sea,7.9,134213,96.0
23,hounds of love,6.7,1115,72.0
24,trolls,6.5,38552,56.0
25,independence day: resurgence,5.3,127553,32.0
29,bad moms,6.2,66540,60.0
30,assassin's creed,5.9,112813,36.0
31,why him?,6.3,48123,39.0
32,nocturnal animals,7.5,126030,67.0
33,x-men: apocalypse,7.1,275510,52.0
34,deadpool,8.0,627797,65.0
35,resident evil: the final chapter,5.6,46165,49.0
36,captain america: civil war,7.9,411656,75.0
37,interstellar,8.6,1047747,74.0
38,doctor strange,7.6,293732,72.0
39,the magnificent seven,6.9,122853,54.0
41,sausage party,6.3,120690,66.0
42,moonlight,7.5,135095,99.0
44,the founder,7.2,37033,66.0
45,lowriders,6.3,279,57.0
46,pirates of the caribbean: on stranger tides,6.7,395025,45.0
47,miss sloane,7.3,17818,64.0
49,star trek beyond,7.1,164567,68.0
50,the last face,3.7,987,16.0
51,star wars: episode vii - the force awakens,8.1,661608,81.0
52,underworld: blood wars,5.8,41362,23.0
53,mother's day,5.6,20221,18.0
54,john wick,7.2,321933,68.0
55,the dark knight,9.0,1791916,82.0
56,silence,7.3,49190,79.0
57,don't breathe,7.2,121103,71.0
58,me before you,7.4,113322,51.0
59,their finest,7.0,3739,76.0
60,sully,7.5,137608,74.0
61,batman v superman: dawn of justice,6.7,472307,44.0
62,the autopsy of jane doe,6.8,35870,65.0
63,the girl on the train,6.5,102177,48.0
64,fifty shades of grey,4.1,244474,46.0
65,the prestige,8.5,913152,66.0
66,kingsman: the secret service,7.7,440209,58.0
67,patriots day,7.4,39784,69.0
68,mad max: fury road,8.1,632842,90.0
69,wakefield,7.5,291,61.0
70,deepwater horizon,7.2,89849,68.0
71,the promise,5.9,149791,49.0
72,allied,7.1,78079,60.0
73,a monster calls,7.5,39134,76.0
74,collateral beauty,6.8,43977,23.0
75,zootopia,8.1,296853,78.0
76,pirates of the caribbean: at world's end,7.1,498821,50.0
77,the avengers,8.1,1045588,69.0
78,inglourious basterds,8.3,959065,69.0
79,pirates of the caribbean: dead man's chest,7.3,552027,53.0
80,ghostbusters,5.3,147717,60.0
81,inception,8.8,1583625,74.0
82,captain fantastic,7.9,105081,72.0
83,the wolf of wall street,8.2,865134,75.0
84,gone girl,8.1,636243,79.0
85,furious seven,7.2,301249,67.0
86,jurassic world,7.0,455169,59.0
87,live by night,6.4,27869,49.0
88,avatar,7.8,935408,83.0
89,the hateful eight,7.8,341170,68.0
90,the accountant,7.4,162122,51.0
91,prisoners,8.1,431185,74.0
92,warcraft,7.0,187547,32.0
93,the help,8.1,342429,62.0
94,war dogs,7.1,106463,57.0
95,avengers: age of ultron,7.4,516895,66.0
96,the nice guys,7.4,175067,70.0
97,kimi no na wa,8.6,34110,79.0
98,the void,5.8,9247,62.0
99,personal shopper,6.3,10181,77.0
100,the departed,8.5,937414,85.0
101,legend,7.0,108836,55.0
102,thor,7.0,570814,57.0
103,the martian,8.0,556097,80.0
105,the man from u.n.c.l.e.,7.3,202973,56.0
106,hell or high water,7.7,115546,88.0
107,the comedian,5.4,1954,40.0
108,the legend of tarzan,6.3,117590,44.0
109,all we had,5.8,1004,48.0
110,ex machina,7.7,339797,78.0
111,the belko experiment,6.3,3712,44.0
112,12 years a slave,8.1,486338,96.0
113,the bad batch,6.1,512,65.0
114,300,7.7,637104,52.0
115,harry potter and the deathly hallows: part 2,8.1,590595,87.0
116,office christmas party,5.8,30761,42.0
117,the neon demon,6.2,50359,51.0
119,10 cloverfield lane,7.2,192968,76.0
120,finding dory,7.4,157026,77.0
121,miss peregrine's home for peculiar children,6.7,101058,57.0
122,divergent,6.7,362093,48.0
123,mike and dave need wedding dates,6.0,53183,51.0
125,the dark knight rises,8.5,1222645,78.0
126,the jungle book,7.5,198243,77.0
127,transformers: age of extinction,5.7,255483,32.0
128,nerve,6.6,69651,58.0
129,mamma mia!,6.4,153481,51.0
130,the revenant,8.0,499424,76.0
131,fences,7.3,50953,79.0
132,into the woods,6.0,109756,69.0
133,the shallows,6.4,78328,59.0
134,whiplash,8.5,477276,88.0
135,furious 6,7.1,318051,61.0
136,the place beyond the pines,7.3,200090,68.0
137,no country for old men,8.1,660286,91.0
138,the great gatsby,7.3,386102,55.0
139,shutter island,8.1,855604,63.0
140,brimstone,7.1,13004,44.0
141,star trek,8.0,526324,82.0
142,diary of a wimpy kid,6.2,34184,56.0
143,the big short,7.8,246360,81.0
144,room,8.2,224132,86.0
145,django unchained,8.4,1039115,81.0
146,ah-ga-ssi,8.1,33418,84.0
147,the edge of seventeen,7.4,47694,77.0
148,watchmen,7.6,410249,56.0
149,superbad,7.6,442082,76.0
150,inferno,6.2,97623,42.0
151,the bfg,6.4,50853,66.0
152,the hunger games,7.2,735604,68.0
153,white girl,5.8,4299,65.0
154,sicario,7.6,243230,82.0
156,aliens vs predator - requiem,4.7,97618,29.0
157,pacific rim,7.0,400519,64.0
158,"crazy, stupid, love.",7.4,396714,68.0
159,scott pilgrim vs. the world,7.5,291457,69.0
160,hot fuzz,7.9,373244,81.0
161,mine,6.0,5926,40.0
162,free fire,7.0,6946,63.0
163,x-men: days of future past,8.0,552298,74.0
164,jack reacher: never go back,6.1,78043,47.0
165,casino royale,8.0,495106,80.0
166,twilight,5.2,361449,56.0
167,now you see me 2,6.5,156567,46.0
168,woman in gold,7.3,39723,51.0
169,13 hours,7.3,76935,48.0
170,spectre,6.8,308981,60.0
171,nightcrawler,7.9,332476,76.0
172,kubo and the two strings,7.9,72778,84.0
173,beyond the gates,5.2,2127,59.0
174,her,8.0,390531,90.0
175,frozen,7.5,451894,74.0
176,tomorrowland,6.5,143069,60.0
177,dawn of the planet of the apes,7.6,337777,79.0
178,tropic thunder,7.0,321442,71.0
179,the conjuring 2,7.4,137203,65.0
180,ant-man,7.3,368912,64.0
181,bridget jones's baby,6.7,43086,59.0
182,the vvitch: a new-england folktale,6.8,101781,83.0
183,cinderella,7.0,117018,67.0
185,forushande,8.0,22389,85.0
186,love,6.0,24003,51.0
187,billy lynn's long halftime walk,6.3,11944,53.0
188,crimson peak,6.6,97454,66.0
189,drive,7.8,461509,78.0
190,trainwreck,6.3,106364,75.0
191,the light between oceans,7.2,27382,60.0
192,below her mouth,5.6,1445,42.0
193,spotlight,8.1,268282,93.0
194,morgan,5.8,22107,48.0
195,warrior,8.2,355722,71.0
196,captain america: the first avenger,6.9,547368,66.0
198,into the wild,8.1,459304,73.0
199,the imitation game,8.1,532353,73.0
200,central intelligence,6.3,97082,52.0
201,edge of tomorrow,7.9,471815,71.0
202,a cure for wellness,6.5,12193,47.0
203,snowden,7.3,79855,58.0
204,iron man,7.9,737719,79.0
205,allegiant,5.7,70504,33.0
206,x: first class,7.8,550011,65.0
207,raw (ii),7.5,5435,81.0
208,paterson,7.5,26089,90.0
209,bridesmaids,6.8,227912,75.0
210,the girl with all the gifts,6.7,23713,67.0
211,san andreas,6.1,161396,43.0
212,spring breakers,5.3,114290,63.0
213,transformers,7.1,531112,61.0
214,old boy,5.8,54679,49.0
215,thor: the dark world,7.0,443584,54.0
216,gods of egypt,5.5,73568,25.0
217,captain america: the winter soldier,7.8,542362,70.0
218,monster trucks,5.7,7044,41.0
219,a dark song,6.1,1703,67.0
220,kick-ass,7.7,456749,66.0
221,hardcore henry,6.7,61098,51.0
222,cars,7.1,283445,73.0
223,it follows,6.9,136399,83.0
224,the girl with the dragon tattoo,7.8,348551,71.0
225,we're the millers,7.0,334867,44.0
226,american honey,7.0,19660,79.0
227,the lobster,7.1,121313,82.0
228,predators,6.4,179450,51.0
229,maleficent,7.0,268877,56.0
230,rupture,4.8,2382,35.0
231,pan's labyrinth,8.2,498879,98.0
232,a kind of murder,5.2,3305,50.0
233,apocalypto,7.8,247926,68.0
234,mission: impossible - rogue nation,7.4,257472,75.0
235,the huntsman: winter's war,6.1,66766,35.0
236,the perks of being a wallflower,8.0,377336,67.0
237,jackie,6.8,41446,81.0
238,the disappointments room,3.9,4895,31.0
239,the grand budapest hotel,8.1,530881,88.0
240,the host,5.9,96852,35.0
241,fury,7.6,332234,64.0
242,inside out,8.2,416689,94.0
243,rock dog,5.8,1109,48.0
244,terminator genisys,6.5,205365,38.0
245,percy jackson & the olympians: the lightning thief,5.9,148949,47.0
246,les misérables,7.6,257426,63.0
247,children of men,7.9,382910,84.0
248,20th century women,7.4,14708,83.0
249,spy,7.1,188017,75.0
250,the intouchables,8.6,557965,57.0
251,bonjour anne,4.9,178,50.0
252,kynodontas,7.3,50946,73.0
253,straight outta compton,7.9,139831,72.0
254,the amazing spider-man 2,6.7,342183,53.0
255,the conjuring,7.5,330305,68.0
256,the hangover,7.8,611563,73.0
257,battleship,5.8,210349,41.0
258,rise of the planet of the apes,7.6,422290,68.0
259,lights out,6.4,69823,58.0
260,norman: the moderate rise and tragic fall of a new york fixer,7.1,664,76.0
261,birdman or (the unexpected virtue of ignorance),7.8,440299,88.0
262,black swan,8.0,581518,79.0
263,dear white people,6.2,21715,79.0
264,nymphomaniac: vol. i,7.0,90556,64.0
265,teenage mutant ninja turtles: out of the shadows,6.0,59312,40.0
266,knock knock,4.9,53441,53.0
267,dirty grandpa,6.0,75137,18.0
268,cloud atlas,7.5,298651,55.0
269,x-men origins: wolverine,6.7,388447,40.0
271,skyfall,7.8,547386,81.0
272,the hobbit: an unexpected journey,7.9,668651,58.0
273,21 jump street,7.2,432046,69.0
274,sing street,8.0,52144,79.0
276,oblivion,7.0,410125,54.0
277,22 jump street,7.1,280110,71.0
278,zodiac,7.7,329683,78.0
279,everybody wants some!!,7.0,36312,83.0
280,iron man three,7.2,591023,62.0
281,now you see me,7.3,492324,50.0
282,sherlock holmes,7.6,501769,57.0
284,the danish girl,7.0,110773,66.0
285,hercules,6.0,122838,47.0
286,sucker punch,6.1,204874,33.0
287,keeping up with the joneses,5.8,30405,34.0
288,jupiter ascending,5.3,150121,40.0
289,masterminds,5.8,26508,47.0
291,busanhaeng,7.5,58782,72.0
292,pitch perfect,7.2,226631,66.0
293,neighbors 2: sorority rising,5.7,76327,58.0
295,man of steel,7.1,577010,55.0
296,the choice,6.6,20514,26.0
297,ice age: collision course,5.7,34523,34.0
298,the devil wears prada,6.8,302268,62.0
299,the infiltrator,7.1,43929,66.0
300,there will be blood,8.1,400682,92.0
301,the equalizer,7.2,249425,57.0
302,lone survivor,7.5,218996,60.0
303,the cabin in the woods,7.0,295554,72.0
304,the house bunny,5.5,67033,55.0
305,she's out of my league,6.4,105619,46.0
306,inherent vice,6.7,69509,81.0
307,alice through the looking glass,6.2,57207,34.0
309,the fast and the furious: tokyo drift,6.0,193479,45.0
310,how to be single,6.1,59886,51.0
311,the blind side,7.7,237221,53.0
312,la vie d'adèle,7.8,103150,88.0
313,the babadook,6.8,132580,86.0
314,the hobbit: the battle of the five armies,7.4,385598,59.0
315,harry potter and the order of the phoenix,7.5,385325,71.0
316,snowpiercer,7.0,199048,84.0
317,the 5th wave,5.2,73093,33.0
319,the visit,6.2,81429,55.0
320,fast five,7.3,300803,66.0
321,step up,6.5,95960,48.0
322,lovesong,6.4,616,74.0
323,rocknrolla,7.3,203096,53.0
324,in time,6.7,319025,53.0
325,the social network,7.7,510100,95.0
326,the last witch hunter,6.0,71149,34.0
327,victor frankenstein,6.0,37975,36.0
328,a street cat named bob,7.4,12643,54.0
329,green room,7.0,62885,79.0
330,blackhat,5.4,43085,51.0
331,storks,6.9,34248,56.0
332,american sniper,7.3,353305,72.0
333,dallas buyers club,8.0,352801,84.0
334,lincoln,7.4,207497,86.0
335,rush,8.1,339722,75.0
337,silver linings playbook,7.8,564364,81.0
338,tracktown,5.9,115,64.0
339,the fault in our stars,7.8,271301,69.0
340,blended,6.5,93764,31.0
341,fast & furious,6.6,217464,46.0
342,looper,7.4,452369,84.0
343,white house down,6.4,173320,52.0
344,pete's dragon,6.8,36322,71.0
345,spider-man 3,6.2,406219,59.0
346,the three musketeers,5.8,92329,35.0
347,stardust,7.7,220664,66.0
348,american hustle,7.3,379088,90.0
349,jennifer's body,5.1,96617,47.0
350,midnight in paris,7.7,320323,81.0
351,lady macbeth,7.3,1396,83.0
352,joy,6.6,97679,56.0
353,the dressmaker,7.1,33352,47.0
354,café society,6.7,45579,64.0
355,insurgent,6.3,171970,42.0
356,seventh son,5.5,59958,30.0
358,the theory of everything,7.7,299718,72.0
359,this is the end,6.6,327838,67.0
360,about time,7.8,221600,55.0
361,step brothers,6.9,223065,51.0
362,clown,5.7,14248,42.0
363,star trek into darkness,7.8,417663,72.0
364,zombieland,7.7,409403,73.0
365,"hail, caesar!",6.3,89059,72.0
366,slumdog millionaire,8.0,677044,86.0
367,the twilight saga: breaking dawn - part 2,5.5,194329,52.0
369,the amazing spider-man,7.0,474320,66.0
370,ben-hur,5.7,28326,38.0
371,sleight,6.0,702,62.0
372,the maze runner,6.8,335531,57.0
373,criminal,6.3,38430,36.0
374,wanted,6.7,312495,64.0
375,florence foster jenkins,6.9,31776,71.0
376,collide,5.7,7583,33.0
377,black mass,6.9,135706,68.0
378,creed,7.6,175673,82.0
379,swiss army man,7.1,61812,64.0
380,the expendables 3,6.1,137568,35.0
381,what we do in the shadows,7.6,84016,76.0
382,southpaw,7.4,169083,57.0
383,hush,6.6,45867,67.0
384,bridge of spies,7.6,217938,81.0
385,the lego movie,7.8,266508,83.0
386,everest,7.1,154647,64.0
387,pixels,5.6,101092,27.0
388,robin hood,6.7,221117,53.0
