id,title,year,director,rating,votes,metascore,budget,gross,profit,roi
0,guardians of the galaxy,2014,james gunn,8.1,757074,76.0,170000000.0,773350147.0,603350147.0,354.9118511764706
1,prometheus,2012,ridley scott,7.0,485820,65.0,130000000.0,403354469.0,273354469.0,210.27266846153844
2,split,2016,m. night shyamalan,7.3,157606,62.0,9000000.0,278454417.0,269454417.0,2993.937966666667
3,sing,2016,christophe lourdelet,7.2,60545,59.0,,,,
4,suicide squad,2016,david ayer,6.2,393727,40.0,175000000.0,746846894.0,571846894.0,326.7696537142857
5,the great wall,2016,yimou zhang,6.1,56036,42.0,150000000.0,334933831.0,184933831.0,123.28922066666668
6,la la land,2016,damien chazelle,8.3,258682,93.0,30000000.0,448906865.0,418906865.0,1396.3562166666666
7,mindhorn,2016,sean foley,6.4,2490,71.0,,,,
8,the lost city of z,2016,james gray,7.1,7188,78.0,30000000.0,19263938.0,-10736062.0,-35.78687333333333
9,passengers,2016,morten tyldum,7.0,192177,41.0,110000000.0,303144152.0,193144152.0,175.5855927272727
10,fantastic beasts and where to find them,2016,david yates,7.5,232072,66.0,180000000.0,814044001.0,634044001.0,352.24666722222224
11,hidden figures,2016,theodore melfi,7.8,93103,74.0,25000000.0,236225193.0,211225193.0,844.9007720000001
12,rogue one,2016,gareth edwards,7.9,323118,65.0,,,,
13,moana,2016,ron clements,7.7,118151,81.0,,,,
14,colossal,2016,nacho vigalondo,6.4,8612,70.0,15000000.0,4531320.0,-10468680.0,-69.7912
15,the secret life of pets,2016,chris renaud,6.6,120259,61.0,75000000.0,875458631.0,800458631.0,1067.2781746666667
16,hacksaw ridge,2016,mel gibson,8.2,211760,71.0,40000000.0,180563636.0,140563636.0,351.40909
17,jason bourne,2016,paul greengrass,6.7,150823,58.0,120000000.0,415484914.0,295484914.0,246.23742833333333
18,lion,2016,garth davis,8.1,102061,69.0,12000000.0,140853810.0,128853810.0,1073.78175
19,arrival,2016,denis villeneuve,8.0,340798,81.0,47000000.0,203388186.0,156388186.0,332.74082127659574
20,gold,2016,stephen gaghan,6.7,19053,49.0,20000000.0,14880939.0,-5119061.0,-25.595305000000003
21,manchester by the sea,2016,kenneth lonergan,7.9,134213,96.0,9000000.0,78988148.0,69988148.0,777.6460888888889
22,hounds of love,2016,ben young,6.7,1115,72.0,,,,
23,trolls,2016,walt dohrn,6.5,38552,56.0,,,,
24,independence day: resurgence,2016,roland emmerich,5.3,127553,32.0,165000000.0,389681935.0,224681935.0,136.1708696969697
25,bad moms,2016,jon lucas,6.2,66540,60.0,20000000.0,183936074.0,163936074.0,819.68037
26,assassin's creed,2016,justin kurzel,5.9,112813,36.0,125000000.0,240697856.0,115697856.0,92.5582848
27,why him?,2016,john hamburg,6.3,48123,39.0,38000000.0,118102725.0,80102725.0,210.79664473684213
28,nocturnal animals,2016,tom ford,7.5,126030,67.0,22500000.0,30311857.0,7811857.0,34.719364444444444
29,x-men: apocalypse,2016,bryan singer,7.1,275510,52.0,178000000.0,543934105.0,365934105.0,205.58095786516853
30,deadpool,2016,tim miller,8.0,627797,65.0,58000000.0,782836791.0,724836791.0,1249.7186051724136
31,resident evil: the final chapter,2016,paul w.s. anderson,5.6,46165,49.0,40000000.0,312242626.0,272242626.0,680.6065649999999
32,captain america: civil war,2016,anthony russo,7.9,411656,75.0,250000000.0,1153337496.0,903337496.0,361.3349984
33,interstellar,2014,christopher nolan,8.6,1047747,74.0,165000000.0,701729206.0,536729206.0,325.29042787878785
34,doctor strange,2016,scott derrickson,7.6,293732,72.0,165000000.0,677796076.0,512796076.0,310.7855006060606
35,the magnificent seven,2016,antoine fuqua,6.9,122853,54.0,90000000.0,162360636.0,72360636.0,80.40070666666666
36,sausage party,2016,greg tiernan,6.3,120690,66.0,19000000.0,140705322.0,121705322.0,640.5543263157895
37,moonlight,2016,barry jenkins,7.5,135095,99.0,4000000.0,65336603.0,61336603.0,1533.415075
38,the founder,2016,john lee hancock,7.2,37033,66.0,25000000.0,24121245.0,-878755.0,-3.51502
39,lowriders,2016,ricardo de montreuil,6.3,279,57.0,,,,
40,pirates of the caribbean: on stranger tides,2011,rob marshall,6.7,395025,45.0,250000000.0,1045713802.0,795713802.0,318.2855208
41,miss sloane,2016,john madden,7.3,17818,64.0,13000000.0,9101546.0,-3898454.0,-29.988107692307693
42,star trek beyond,2016,justin lin,7.1,164567,68.0,185000000.0,343471816.0,158471816.0,85.66044108108109
43,the last face,2016,sean penn,3.7,987,16.0,,,,
44,star wars: episode vii - the force awakens,2015,j.j. abrams,8.1,661608,81.0,245000000.0,2069521700.0,1824521700.0,744.7027346938776
45,underworld: blood wars,2016,anna foerster,5.8,41362,23.0,35000000.0,81093313.0,46093313.0,131.69518
46,mother's day,2016,garry marshall,5.6,20221,18.0,25000000.0,48782670.0,23782670.0,95.13068
47,john wick,2014,chad stahelski,7.2,321933,68.0,20000000.0,86081711.0,66081711.0,330.408555
48,the dark knight,2008,christopher nolan,9.0,1791916,82.0,185000000.0,1005973645.0,820973645.0,443.7695378378378
49,silence,2016,martin scorsese,7.3,49190,79.0,46000000.0,23834809.0,-22165191.0,-48.18519782608696
50,don't breathe,2016,fede alvarez,7.2,121103,71.0,9900000.0,157830487.0,147930487.0,1494.2473434343433
51,me before you,2016,thea sharrock,7.4,113322,51.0,20000000.0,208314186.0,188314186.0,941.57093
52,their finest,2016,lone scherfig,7.0,3739,76.0,,,,
53,sully,2016,clint eastwood,7.5,137608,74.0,60000000.0,240797623.0,180797623.0,301.32937166666665
54,batman v superman: dawn of justice,2016,zack snyder,6.7,472307,44.0,250000000.0,873637528.0,623637528.0,249.45501120000003
55,the autopsy of jane doe,2016,andré øvredal,6.8,35870,65.0,,,,
56,the girl on the train,2016,tate taylor,6.5,102177,48.0,45000000.0,173185859.0,128185859.0,284.8574644444445
57,fifty shades of grey,2015,sam taylor-johnson,4.1,244474,46.0,40000000.0,569651467.0,529651467.0,1324.1286675
58,the prestige,2006,christopher nolan,8.5,913152,66.0,40000000.0,109676311.0,69676311.0,174.1907775
59,kingsman: the secret service,2014,matthew vaughn,7.7,440209,58.0,81000000.0,414351546.0,333351546.0,411.54511851851856
60,patriots day,2016,peter berg,7.4,39784,69.0,45000000.0,52185751.0,7185751.0,15.968335555555557
61,mad max: fury road,2015,george miller,8.1,632842,90.0,150000000.0,375658750.0,225658750.0,150.4391666666667
62,wakefield,2016,robin swicord,7.5,291,61.0,,,,
63,deepwater horizon,2016,peter berg,7.2,89849,68.0,110000000.0,121790373.0,11790373.0,10.718520909090907
64,the promise,2016,terry george,5.9,149791,49.0,,,,
65,allied,2016,robert zemeckis,7.1,78079,60.0,85000000.0,119520023.0,34520023.0,40.611791764705885
66,a monster calls,2016,j.a. bayona,7.5,39134,76.0,43000000.0,47309313.0,4309313.0,10.021658139534884
67,collateral beauty,2016,david frankel,6.8,43977,23.0,36000000.0,88528280.0,52528280.0,145.91188888888888
68,zootopia,2016,byron howard,8.1,296853,78.0,150000000.0,1024121104.0,874121104.0,582.7474026666666
69,pirates of the caribbean: at world's end,2007,gore verbinski,7.1,498821,50.0,300000000.0,960996492.0,660996492.0,220.332164
70,the avengers,2012,joss whedon,8.1,1045588,69.0,220000000.0,1518815515.0,1298815515.0,590.3706886363636
71,inglourious basterds,2009,quentin tarantino,8.3,959065,69.0,70000000.0,321457747.0,251457747.0,359.22535285714287
72,pirates of the caribbean: dead man's chest,2006,gore verbinski,7.3,552027,53.0,225000000.0,1066179747.0,841179747.0,373.8576653333333
73,ghostbusters,2016,paul feig,5.3,147717,60.0,144000000.0,229147509.0,85147509.0,59.13021458333333
74,inception,2010,christopher nolan,8.8,1583625,74.0,160000000.0,836836967.0,676836967.0,423.023104375
75,captain fantastic,2016,matt ross,7.9,105081,72.0,5000000.0,23123592.0,18123592.0,362.47184
76,the wolf of wall street,2013,martin scorsese,8.2,865134,75.0,100000000.0,392000694.0,292000694.0,292.000694
77,gone girl,2014,david fincher,8.1,636243,79.0,61000000.0,369330363.0,308330363.0,505.4596114754099
78,furious seven,2015,james wan,7.2,301249,67.0,,,,
79,jurassic world,2015,colin trevorrow,7.0,455169,59.0,150000000.0,1670516444.0,1520516444.0,1013.6776293333334
80,live by night,2016,ben affleck,6.4,27869,49.0,108000000.0,22678555.0,-85321445.0,-79.00133796296296
81,avatar,2009,james cameron,7.8,935408,83.0,237000000.0,2847246203.0,2610246203.0,1101.3697059071728
82,the hateful eight,2015,quentin tarantino,7.8,341170,68.0,44000000.0,156480177.0,112480177.0,255.6367659090909
83,the accountant,2016,gavin o'connor,7.4,162122,51.0,44000000.0,155160045.0,111160045.0,252.6364659090909
84,prisoners,2013,denis villeneuve,8.1,431185,74.0,46000000.0,122126687.0,76126687.0,165.49279782608696
85,warcraft,2016,duncan jones,7.0,187547,32.0,160000000.0,439048914.0,279048914.0,174.40557125
86,the help,2011,tate taylor,8.1,342429,62.0,25000000.0,216639112.0,191639112.0,766.5564479999999
87,war dogs,2016,todd phillips,7.1,106463,57.0,40000000.0,86234523.0,46234523.0,115.5863075
88,avengers: age of ultron,2015,joss whedon,7.4,516895,66.0,250000000.0,1402809540.0,1152809540.0,461.123816
89,the nice guys,2016,shane black,7.4,175067,70.0,50000000.0,62788218.0,12788218.0,25.576436
90,kimi no na wa,2016,makoto shinkai,8.6,34110,79.0,,,,
91,the void,2016,jeremy gillespie,5.8,9247,62.0,,,,
92,personal shopper,2016,olivier assayas,6.3,10181,77.0,6000000.0,2840408.0,-3159592.0,-52.659866666666666
93,the departed,2006,martin scorsese,8.5,937414,85.0,90000000.0,291465373.0,201465373.0,223.85041444444445
94,legend,2015,brian helgeland,7.0,108836,55.0,30000000.0,42972994.0,12972994.0,43.24331333333333
95,thor,2011,kenneth branagh,7.0,570814,57.0,150000000.0,449326618.0,299326618.0,199.55107866666663
96,the martian,2015,ridley scott,8.0,556097,80.0,108000000.0,630162448.0,522162448.0,483.48374814814815
97,the man from u.n.c.l.e.,2015,guy ritchie,7.3,202973,56.0,75000000.0,107045109.0,32045109.0,42.726812
98,hell or high water,2016,david mackenzie,7.7,115546,88.0,12000000.0,37879877.0,25879877.0,215.6656416666667
99,the comedian,2016,taylor hackford,5.4,1954,40.0,,,,
100,the legend of tarzan,2016,david yates,6.3,117590,44.0,180000000.0,356700357.0,176700357.0,98.166865
