title,year,rating,votes,metascore,total_seasons
stranger things,2016–2025,8.6,1691532,,5.0
the boys,2019–2026,8.5,909674,,5.0
squid game,2021–2025,7.9,756973,,3.0
the last of us,2023–,8.5,734061,,2.0
the mandalorian,2019–,8.6,647555,,3.0
the witcher,2019–,7.9,618310,,4.0
money heist,2017–2021,8.2,604616,,5.0
westworld,2016–2022,8.4,556181,,4.0
dark,2017–2020,8.7,542010,,3.0
house of the dragon,2022–,8.3,523146,,4.0
wednesday,2022–,8.0,498028,,3.0
loki,2021–2023,8.2,470715,,2.0
arcane,2021–2024,9.0,441347,,2.0
ted lasso,2020–,8.8,432057,,4.0
the lord of the rings the rings of power,2022–,6.9,436113,,3.0
sex education,2019–2023,8.2,393118,,4.0
mindhunter,2017–2019,8.6,391041,,2.0
fallout,2024–,8.3,389190,,2.0
ozark,2017–2022,8.4,387946,,4.0
lucifer,2016–2021,8.0,389333,,6.0
severance,2022–,8.6,385489,,2.0
you,2018–2025,7.6,361631,,5.0
succession,2018–2023,8.8,346930,,4.0
invincible,2021–,8.7,325720,,4.0
13 reasons why,2017–2020,7.4,337279,,4.0
the white lotus,2021–,8.0,322287,,3.0
aspirants,2021–,9.2,313882,,2.0
euphoria,2019–2026,8.2,297928,,3.0
the umbrella academy,2019–2024,7.8,312703,,4.0
yellowstone,2018–2024,8.6,308484,,5.0
the bear,2022–,8.5,304651,,5.0
the punisher,2017–2019,8.4,293826,,2.0
the handmaid s tale,2017–2025,8.3,294353,,6.0
